FIRSTNAME,EMAIL,SKILLS,EXPERIENCE,EVENTNAME,ACCEPTORREJECT,STARTTIME,ENDTIME
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,09:47:00,16:05:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:35:00,07:08:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:18:00,03:58:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:51:00,13:56:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:52:00,01:21:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:17:00,02:26:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:20:00,09:28:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:41:00,17:49:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:17:00,10:03:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,09:31:00,09:07:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,09:43:00,14:17:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,09:47:00,16:05:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:35:00,07:08:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:18:00,03:58:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:51:00,13:56:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:52:00,01:21:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:17:00,02:26:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:20:00,09:28:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:41:00,17:49:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:17:00,10:03:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,09:31:00,09:07:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,09:43:00,14:17:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,09:47:00,16:05:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:35:00,07:08:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:18:00,03:58:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:51:00,13:56:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:52:00,01:21:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:17:00,02:26:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:20:00,09:28:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:41:00,17:49:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:17:00,10:03:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,09:31:00,09:07:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,09:43:00,14:17:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,09:47:00,16:05:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:35:00,07:08:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:18:00,03:58:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:51:00,13:56:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:52:00,01:21:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:17:00,02:26:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:20:00,09:28:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:41:00,17:49:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Enterprise Architecture,1,10:17:00,10:03:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Business Intelligence (BI),1,10:25:00,10:06:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Business Intelligence (BI),1,10:35:00,13:18:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Business Intelligence (BI),1,09:59:00,16:52:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Business Intelligence (BI),1,09:39:00,08:06:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Business Intelligence (BI),1,10:57:00,01:48:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Business Intelligence (BI),1,10:25:00,10:06:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Business Intelligence (BI),1,10:35:00,13:18:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Business Intelligence (BI),1,09:59:00,16:52:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Business Intelligence (BI),1,09:39:00,08:06:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Business Intelligence (BI),1,10:57:00,01:48:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Business Intelligence (BI),1,10:25:00,10:06:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Business Intelligence (BI),1,10:35:00,13:18:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Business Intelligence (BI),1,09:59:00,16:52:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Business Intelligence (BI),1,09:39:00,08:06:00
Hazel,bhatchette94@fema.gov,Business Intelligence (BI),9,Business Intelligence (BI),1,10:57:00,01:48:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,10:57:00,07:02:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,09:41:00,15:20:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,09:52:00,15:51:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,09:48:00,15:19:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,10:25:00,16:26:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,10:20:00,13:17:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,09:31:00,10:32:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,10:57:00,07:02:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,09:41:00,15:20:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,09:52:00,15:51:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,09:48:00,15:19:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,10:25:00,16:26:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,10:20:00,13:17:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,09:31:00,10:32:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,10:57:00,07:02:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,09:41:00,15:20:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,09:52:00,15:51:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,09:48:00,15:19:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,10:25:00,16:26:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,10:20:00,13:17:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,09:31:00,10:32:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,10:57:00,07:02:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,09:41:00,15:20:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,09:52:00,15:51:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,09:48:00,15:19:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,10:25:00,16:26:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,10:20:00,13:17:00
Marina,lworrillca@springer.com,Machine Learning,9,Quality Assurance (QA),1,09:31:00,10:32:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:35:00,13:31:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:54:00,09:33:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:50:00,04:38:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:06:00,06:53:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:12:00,14:17:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:40:00,13:50:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:32:00,03:43:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,09:41:00,01:01:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:35:00,13:31:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:54:00,09:33:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:50:00,04:38:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:06:00,06:53:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:12:00,14:17:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:40:00,13:50:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:32:00,03:43:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,09:41:00,01:01:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:35:00,13:31:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:54:00,09:33:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:50:00,04:38:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:06:00,06:53:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:12:00,14:17:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:40:00,13:50:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,10:32:00,03:43:00
Cassy,vroberson2s@dailymotion.com,AWS,2,DevOps,1,09:41:00,01:01:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:32:00,15:44:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:30:00,10:51:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,10:36:00,14:12:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:39:00,14:37:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,10:59:00,06:48:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:35:00,15:03:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,10:31:00,05:01:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:50:00,07:17:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:43:00,05:28:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:32:00,15:44:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:30:00,10:51:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,10:36:00,14:12:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:39:00,14:37:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,10:59:00,06:48:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:35:00,15:03:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,10:31:00,05:01:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:50:00,07:17:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:43:00,05:28:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:32:00,15:44:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:30:00,10:51:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,10:36:00,14:12:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:39:00,14:37:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,10:59:00,06:48:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:35:00,15:03:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,10:31:00,05:01:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:50:00,07:17:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:43:00,05:28:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:32:00,15:44:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:30:00,10:51:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,10:36:00,14:12:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:39:00,14:37:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,10:59:00,06:48:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:35:00,15:03:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,10:31:00,05:01:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:50:00,07:17:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:43:00,05:28:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:32:00,15:44:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:30:00,10:51:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,10:36:00,14:12:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:39:00,14:37:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,10:59:00,06:48:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:35:00,15:03:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,10:31:00,05:01:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:50:00,07:17:00
Doloritas,vpeterkin4i@instagram.com,JavaScript,1,Blockchain,1,09:43:00,05:28:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,10:57:00,04:48:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,09:56:00,13:34:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,09:44:00,13:11:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,10:22:00,01:20:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,10:28:00,13:14:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,10:10:00,14:20:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,10:03:00,12:34:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,10:57:00,04:48:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,09:56:00,13:34:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,09:44:00,13:11:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,10:22:00,01:20:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,10:28:00,13:14:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,10:10:00,14:20:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,10:03:00,12:34:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,10:57:00,04:48:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,09:56:00,13:34:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,09:44:00,13:11:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,10:22:00,01:20:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,10:28:00,13:14:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,10:10:00,14:20:00
Euell,kfockent@howstuffworks.com,Node.js,8,Mobile App Development,1,10:03:00,12:34:00
Penn,dclyntergx@webeden.co.uk,Backend Development,3,Software Engineering,1,10:11:00,06:01:00
Penn,dclyntergx@webeden.co.uk,Backend Development,3,Software Engineering,1,10:15:00,02:35:00
Penn,dclyntergx@webeden.co.uk,Backend Development,3,Software Engineering,1,09:46:00,11:48:00
Penn,dclyntergx@webeden.co.uk,Backend Development,3,Software Engineering,1,10:16:00,08:38:00
Penn,dclyntergx@webeden.co.uk,Backend Development,3,Software Engineering,1,10:51:00,06:59:00
Penn,dclyntergx@webeden.co.uk,Backend Development,3,Software Engineering,1,10:19:00,12:01:00
Penn,dclyntergx@webeden.co.uk,Backend Development,3,Software Engineering,1,10:46:00,11:55:00
Penn,dclyntergx@webeden.co.uk,Backend Development,3,Software Engineering,1,10:31:00,09:40:00
Penn,dclyntergx@webeden.co.uk,Backend Development,3,Software Engineering,1,10:46:00,04:14:00
Penn,dclyntergx@webeden.co.uk,Backend Development,3,Software Engineering,1,10:14:00,17:42:00
Penn,dclyntergx@webeden.co.uk,Backend Development,3,Software Engineering,1,10:43:00,17:34:00
Penn,dclyntergx@webeden.co.uk,Backend Development,3,Software Engineering,1,10:28:00,10:11:00
Justine,akellittp6@prweb.com,AWS,6,MongoDB,1,09:35:00,12:26:00
Justine,akellittp6@prweb.com,AWS,6,MongoDB,1,10:24:00,07:50:00
Justine,akellittp6@prweb.com,AWS,6,MongoDB,1,10:21:00,01:49:00
Justine,akellittp6@prweb.com,AWS,6,MongoDB,1,10:44:00,02:35:00
Justine,akellittp6@prweb.com,AWS,6,MongoDB,1,10:45:00,01:28:00
Justine,akellittp6@prweb.com,AWS,6,MongoDB,1,10:14:00,08:10:00
Justine,akellittp6@prweb.com,AWS,6,MongoDB,1,10:30:00,16:44:00
Justine,akellittp6@prweb.com,AWS,6,MongoDB,1,09:35:00,12:26:00
Justine,akellittp6@prweb.com,AWS,6,MongoDB,1,10:24:00,07:50:00
Justine,akellittp6@prweb.com,AWS,6,MongoDB,1,10:21:00,01:49:00
Justine,akellittp6@prweb.com,AWS,6,MongoDB,1,10:44:00,02:35:00
Justine,akellittp6@prweb.com,AWS,6,MongoDB,1,10:45:00,01:28:00
Justine,akellittp6@prweb.com,AWS,6,MongoDB,1,10:14:00,08:10:00
Justine,akellittp6@prweb.com,AWS,6,MongoDB,1,10:30:00,16:44:00
Rozina,dlivingston1a@amazon.com,Frontend Development,10,ETL Processes,1,10:02:00,10:30:00
Rozina,dlivingston1a@amazon.com,Frontend Development,10,ETL Processes,1,09:41:00,02:04:00
Rozina,dlivingston1a@amazon.com,Frontend Development,10,ETL Processes,1,10:52:00,13:17:00
Rozina,dlivingston1a@amazon.com,Frontend Development,10,ETL Processes,1,09:44:00,05:45:00
Rozina,dlivingston1a@amazon.com,Frontend Development,10,ETL Processes,1,10:12:00,03:38:00
Rozina,dlivingston1a@amazon.com,Frontend Development,10,ETL Processes,1,10:14:00,01:46:00
Rozina,dlivingston1a@amazon.com,Frontend Development,10,ETL Processes,1,09:46:00,11:13:00
Rozina,dlivingston1a@amazon.com,Frontend Development,10,ETL Processes,1,10:59:00,04:50:00
Rozina,dlivingston1a@amazon.com,Frontend Development,10,ETL Processes,1,10:56:00,10:09:00
Rozina,dlivingston1a@amazon.com,Frontend Development,10,ETL Processes,1,10:46:00,06:10:00
Rozina,dlivingston1a@amazon.com,Frontend Development,10,ETL Processes,1,10:40:00,02:22:00
Rozina,dlivingston1a@amazon.com,Frontend Development,10,ETL Processes,1,09:42:00,01:56:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,10:57:00,04:48:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,09:56:00,13:34:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,09:44:00,13:11:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,10:22:00,01:20:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,10:28:00,13:14:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,10:10:00,14:20:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,10:03:00,12:34:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,10:57:00,04:48:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,09:56:00,13:34:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,09:44:00,13:11:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,10:22:00,01:20:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,10:28:00,13:14:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,10:10:00,14:20:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,10:03:00,12:34:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,10:57:00,04:48:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,09:56:00,13:34:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,09:44:00,13:11:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,10:22:00,01:20:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,10:28:00,13:14:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,10:10:00,14:20:00
Nate,kwissbeybb@storify.com,Data Science,6,Mobile App Development,1,10:03:00,12:34:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,10:49:00,11:21:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,09:33:00,02:51:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,10:21:00,03:23:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,09:45:00,05:41:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,10:59:00,14:44:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,10:49:00,11:21:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,09:33:00,02:51:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,10:21:00,03:23:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,09:45:00,05:41:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,10:59:00,14:44:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,10:49:00,11:21:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,09:33:00,02:51:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,10:21:00,03:23:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,09:45:00,05:41:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,10:59:00,14:44:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,10:49:00,11:21:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,09:33:00,02:51:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,10:21:00,03:23:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,09:45:00,05:41:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,10:59:00,14:44:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,10:49:00,11:21:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,09:33:00,02:51:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,10:21:00,03:23:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,09:45:00,05:41:00
Kathleen,ahughf1i@artisteer.com,Automation Testing,7,Azure,1,10:59:00,14:44:00
Abelard,spoterq2@t-online.de,Mobile App Development,5,Google Cloud Platform (GCP),1,10:25:00,15:49:00
Abelard,spoterq2@t-online.de,Mobile App Development,5,Google Cloud Platform (GCP),1,10:03:00,05:05:00
Abelard,spoterq2@t-online.de,Mobile App Development,5,Google Cloud Platform (GCP),1,09:31:00,18:29:00
